,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step1_far_dead_node,step2_isol,step2_unsupp,step2_far_dead_node,step3_isol,step3_unsupp,step3_far_dead_node,step4_isol,step4_unsupp,step4_far_dead_node,step5_isol,step5_unsupp,step5_far_dead_node,step6_isol,step6_unsupp,step6_far_dead_node,step7_isol,step7_unsupp,step7_far_dead_node,step8_isol,step8_unsupp,step8_far_dead_node,step9_isol,step9_unsupp,step9_far_dead_node,step10_isol,step10_unsupp,step10_far_dead_node,step11_isol,step11_unsupp,step11_far_dead_node,step12_isol,step12_unsupp,step12_far_dead_node,step13_isol,step13_unsupp,step13_far_dead_node,step14_isol,step14_unsupp,step14_far_dead_node,step15_isol,step15_unsupp,step15_far_dead_node,step16_isol,step16_unsupp,step16_far_dead_node,step17_isol,step17_unsupp,step17_far_dead_node,step18_isol,step18_unsupp,step18_far_dead_node,step19_isol,step19_unsupp,step19_far_dead_node,step20_isol,step20_unsupp,step20_far_dead_node,step21_isol,step21_unsupp,step21_far_dead_node,step22_isol,step22_unsupp,step22_far_dead_node,step23_isol,step23_unsupp,step23_far_dead_node,step24_isol,step24_unsupp,step24_far_dead_node,step25_isol,step25_unsupp,step25_far_dead_node,step26_isol,step26_unsupp,step26_far_dead_node,step27_isol,step27_unsupp,step27_far_dead_node,step28_isol,step28_unsupp,step28_far_dead_node,step29_isol,step29_unsupp,step29_far_dead_node,step30_isol,step30_unsupp,step30_far_dead_node,step31_isol,step31_unsupp,step31_far_dead_node,step32_isol,step32_unsupp,step32_far_dead_node,step33_isol,step33_unsupp,step33_far_dead_node,step34_isol,step34_unsupp,step34_far_dead_node,step35_isol,step35_unsupp,step35_far_dead_node,step36_isol,step36_unsupp,step36_far_dead_node,step37_isol,step37_unsupp,step37_far_dead_node,step38_isol,step38_unsupp,step38_far_dead_node
0,1,0.0685,1726,500,0,0,0,417,183,8,0.67606455,0,0.592691708,0,6.904,0,493,0,0,0,0,306,141,0.684937296,84,22,0.633719851,21,9,0.614764039,4,7,0.606272124,0,2,0.592806331,2,0,0.54731718,0,2,0.447580609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.0685,1726,500,0,0,0,426,174,6,0.67606455,0,0.592691708,0,6.904,0,493,0,0,0,0,306,112,0.684937296,88,40,0.635212747,29,17,0.621877754,2,5,0.493664947,1,0,0.526809969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.0685,1726,500,0,0,0,194,406,15,0.67606455,0,0.015082604,0,6.904,0,499.5,0,0,0,0,10,269,0.684937296,37,2,0.606071838,2,30,0.649677607,25,2,0.621583475,4,23,0.667191805,9,4,0.624439686,7,9,0.585562839,23,7,0.586808856,27,23,0.6643162,40,11,0.633719851,4,24,0.670424162,4,1,0.506852944,1,1,0.430949531,1,0,0.543829438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.0685,1726,500,147.5,271.5,248,64,288,10,0.67606455,0.681749383,0.015082604,0.002419355,6.904,0.59,499.5,124,-0.038235634,0.512725916,0.441729422,10,232,0.670424162,28,6,0.684937296,4,25,0.621583475,13,3,0.6643162,2,13,0.65695617,6,2,0.613978098,0,6,0.58599151,1,0,0.447014359,0,1,0.428896773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0.0685,1699,500,1,3,4,416,180,4,0.696350518,0.459372272,0.605625297,0,6.796,0.004,492,2,nan,0.419133066,0.419133066,311,133,0.697699872,104,24,0.695001163,1,23,0.628940895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0.0685,1699,500,0,0,0,417,183,7,0.696350518,0,0.605625297,0,6.796,0,492,0,0,0,0,311,98,0.697699872,87,65,0.680758502,17,9,0.610733117,0,9,0.602706547,2,0,0.628940895,0,2,0.403197888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,0.0685,1699,500,0,0,0,191,409,13,0.696350518,0,0.016566864,0,6.796,0,500,0,0,0,0,9,270,0.697699872,51,5,0.677452881,2,47,0.678231969,55,1,0.628940895,1,38,0.658909381,39,1,0.586443205,4,26,0.695001163,23,3,0.64460402,2,16,0.547108936,2,1,0.424802763,2,1,0.603237582,1,0,0.515308804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,0.0685,1699,500,146.5,272.5,252,73,275,10,0.696350518,0.697699872,0.016566864,0.016666667,6.796,0.586,500,126,-0.118446988,0.42557065,0.507655965,9,212,0.695001163,37,6,0.671511061,0,32,0.678231969,16,0,0.634127066,0,14,0.56312314,7,0,0.598983585,0,7,0.549728272,4,0,0.525373254,0,4,0.572627335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,0.0685,1724.5,500,0,0,0,300,300,4,0.691976137,0,0.593185489,0,6.898,0,488,0,0,0,0,79,247,0.6928733,212,21,0.691078973,9,32,0.594876572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,0.0685,1724.5,500,0,0,0,327,273,5,0.691976137,0,0.593185489,0,6.898,0,488,0,0,0,0,79,216,0.6928733,215,12,0.691078973,25,43,0.665064527,8,2,0.566472952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
