,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step2_isol,step2_unsupp,step3_isol,step3_unsupp,step4_isol,step4_unsupp,step5_isol,step5_unsupp,step6_isol,step6_unsupp,step7_isol,step7_unsupp,step8_isol,step8_unsupp,step9_isol,step9_unsupp,step10_isol,step10_unsupp,step11_isol,step11_unsupp,step12_isol,step12_unsupp,step13_isol,step13_unsupp,step14_isol,step14_unsupp,step15_isol,step15_unsupp,step16_isol,step16_unsupp,step17_isol,step17_unsupp,step18_isol,step18_unsupp,step19_isol,step19_unsupp,step20_isol,step20_unsupp,step21_isol,step21_unsupp,step22_isol,step22_unsupp,step23_isol,step23_unsupp,step24_isol,step24_unsupp,step25_isol,step25_unsupp,step26_isol,step26_unsupp,step27_isol,step27_unsupp,step28_isol,step28_unsupp,step29_isol,step29_unsupp,step30_isol,step30_unsupp,step31_isol,step31_unsupp,step32_isol,step32_unsupp,step33_isol,step33_unsupp,step34_isol,step34_unsupp,step35_isol,step35_unsupp,step36_isol,step36_unsupp,step37_isol,step37_unsupp,step38_isol,step38_unsupp,step39_isol,step39_unsupp,step40_isol,step40_unsupp,step41_isol,step41_unsupp,step42_isol,step42_unsupp,step43_isol,step43_unsupp
0,1,0.04,208.5,300,0,0,0,511,29,3,0.694463395,0,0.329297399,0,1.39,0,14.5,0,0,0,0,511,2,0,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.04,208.5,300,0,0,0,511,29,3,0.694463395,0,0.329297399,0,1.39,0,14.5,0,0,0,0,511,0,0,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,0.04,208.5,300,0,0,0,429,111,5,0.694463395,0,0.005162242,0,1.39,0,151.5,0,0,0,0,343,18,34,85,50,2,2,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,0.04,208.5,300,0,0,0,417,123,6,0.694463395,0,0.005162242,0,1.39,0,151.5,0,0,0,0,343,15,36,96,36,2,0,10,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,0.04,193.5,300,0,0,0,524,16,4,0.69559295,0,0.282265512,0,1.29,0,9.5,0,0,0,0,521,2,2,14,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,0.04,193.5,300,0,0,0,526,14,3,0.69559295,0,0.282265512,0,1.29,0,9.5,0,0,0,0,521,4,5,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,0.04,193.5,300,0,0,0,431,109,5,0.69559295,0,0,0,1.29,0,134.5,0,0,0,0,380,11,17,90,34,0,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,0.04,193.5,300,0,0,0,426,114,5,0.69559295,0,0,0,1.29,0,134.5,0,0,0,0,380,16,17,93,28,2,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,0.04,230,300,0,0,0,513,27,3,0.677351711,0,0.32186738,0,1.533333333,0,13.5,0,0,0,0,513,1,0,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,0.04,230,300,0,0,0,516,24,3,0.677351711,0,0.32186738,0,1.533333333,0,13.5,0,0,0,0,513,3,3,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3,0.04,230,300,0,0,0,412,128,5,0.677351711,0,0.008433961,0,1.533333333,0,170.5,0,0,0,0,297,23,65,98,48,3,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3,0.04,230,300,0,0,0,418,122,5,0.677351711,0,0.008433961,0,1.533333333,0,170.5,0,0,0,0,297,29,64,88,54,2,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,0.04,228.5,300,0,0,0,509,31,3,0.677894866,0,0.333409665,0,1.523333333,0,15.5,0,0,0,0,509,0,0,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,0.04,228.5,300,0,0,0,518,22,5,0.677894866,0,0.333409665,0,1.523333333,0,15.5,0,0,0,0,509,6,7,15,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4,0.04,228.5,300,0,0,0,426,114,5,0.677894866,0,0.003545322,0,1.523333333,0,171,0,0,0,0,292,26,81,78,49,7,4,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4,0.04,228.5,300,0,0,0,406,134,5,0.677894866,0,0.003545322,0,1.523333333,0,171,0,0,0,0,292,27,66,93,43,6,5,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,5,0.04,230,300,0,0,0,517,23,3,0.669723564,0,0.356316425,0,1.533333333,0,13,0,0,0,0,514,3,3,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5,0.04,230,300,0,0,0,517,23,4,0.669723564,0,0.356316425,0,1.533333333,0,13,0,0,0,0,514,4,2,19,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,5,0.04,230,300,0,0,0,401,139,6,0.669723564,0,0.004098361,0,1.533333333,0,176,0,0,0,0,303,28,44,101,52,2,0,8,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5,0.04,230,300,0,0,0,418,122,6,0.669723564,0,0.004098361,0,1.533333333,0,176,0,0,0,0,303,18,54,92,58,3,1,9,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6,0.04,215,300,0,0,0,519,21,4,0.67605443,0,0.304674165,0,1.433333333,0,13,0,0,0,0,514,6,5,13,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,6,0.04,215,300,0,0,0,514,26,3,0.67605443,0,0.304674165,0,1.433333333,0,13,0,0,0,0,514,2,0,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,6,0.04,215,300,0,0,0,444,96,5,0.67605443,0,0,0,1.433333333,0,164,0,0,0,0,365,19,56,70,23,2,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6,0.04,215,300,0,0,0,452,88,6,0.67605443,0,0,0,1.433333333,0,164,0,0,0,0,365,19,65,67,19,1,2,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,7,0.04,219.5,300,0,0,0,521,19,3,0.687562309,0,0.328101465,0,1.463333333,0,11,0,0,0,0,518,1,3,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,7,0.04,219.5,300,0,0,0,519,21,3,0.687562309,0,0.328101465,0,1.463333333,0,11,0,0,0,0,518,3,1,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,7,0.04,219.5,300,0,0,0,431,109,5,0.687562309,0,0,0,1.463333333,0,139.5,0,0,0,0,336,29,73,74,21,4,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,7,0.04,219.5,300,0,0,0,443,97,6,0.687562309,0,0,0,1.463333333,0,139.5,0,0,0,0,336,17,79,69,21,9,3,2,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,8,0.04,206.5,300,0,0,0,523,17,3,0.672879049,0,0.369941138,0,1.376666667,0,9,0,0,0,0,522,3,1,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,8,0.04,206.5,300,0,0,0,526,14,3,0.672879049,0,0.369941138,0,1.376666667,0,9,0,0,0,0,522,2,4,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,8,0.04,206.5,300,0,0,0,469,71,5,0.672879049,0,0.004253835,0,1.376666667,0,108.5,0,0,0,0,416,16,42,50,11,1,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,8,0.04,206.5,300,0,0,0,445,95,6,0.672879049,0,0.004253835,0,1.376666667,0,108.5,0,0,0,0,416,14,16,78,11,0,0,3,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,9,0.04,229.5,300,0,0,0,523,17,3,0.659879684,0,0.344676012,0,1.53,0,15,0,0,0,0,518,2,5,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,9,0.04,229.5,300,0,0,0,520,20,3,0.659879684,0,0.344676012,0,1.53,0,15,0,0,0,0,518,4,2,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,9,0.04,229.5,300,0,0,0,428,112,5,0.659879684,0,0.006488691,0,1.53,0,177.5,0,0,0,0,289,25,81,78,54,5,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9,0.04,229.5,300,0,0,0,416,124,7,0.659879684,0,0.006488691,0,1.53,0,177.5,0,0,0,0,289,21,74,90,46,6,3,6,2,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,10,0.04,224,300,0,0,0,519,21,4,0.670671599,0,0.331094134,0,1.493333333,0,17,0,0,0,0,515,2,2,19,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
