,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step1_far_dead_node,step2_isol,step2_unsupp,step2_far_dead_node,step3_isol,step3_unsupp,step3_far_dead_node,step4_isol,step4_unsupp,step4_far_dead_node,step5_isol,step5_unsupp,step5_far_dead_node,step6_isol,step6_unsupp,step6_far_dead_node,step7_isol,step7_unsupp,step7_far_dead_node,step8_isol,step8_unsupp,step8_far_dead_node,step9_isol,step9_unsupp,step9_far_dead_node,step10_isol,step10_unsupp,step10_far_dead_node,step11_isol,step11_unsupp,step11_far_dead_node,step12_isol,step12_unsupp,step12_far_dead_node,step13_isol,step13_unsupp,step13_far_dead_node,step14_isol,step14_unsupp,step14_far_dead_node,step15_isol,step15_unsupp,step15_far_dead_node,step16_isol,step16_unsupp,step16_far_dead_node,step17_isol,step17_unsupp,step17_far_dead_node,step18_isol,step18_unsupp,step18_far_dead_node,step19_isol,step19_unsupp,step19_far_dead_node,step20_isol,step20_unsupp,step20_far_dead_node,step21_isol,step21_unsupp,step21_far_dead_node,step22_isol,step22_unsupp,step22_far_dead_node
0,1,0.067,1623,500,1033,1402,738,49,113,3,0.694485667,0.700212829,0.599954934,0.564115589,6.492,4.132,475.5,369,0.578358216,0.365893102,0.345932927,49,78,0.688758505,0,35,0.56422828,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.067,1623,500,989,1345,712,62,126,5,0.694485667,0.676082793,0.599954934,0.58655911,6.492,3.956,475.5,356,0.468526246,0.483291777,0.319245651,49,74,0.688758505,2,39,0.700212829,11,2,0.62561583,0,11,0.592507565,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,0.067,1623,500,1056.5,1459.5,806,2,92,4,0.694485667,0.686958034,0.011367763,0.012695183,6.492,4.226,500,403,-0.025995598,0.368539202,0.348721402,1,90,0.700212829,1,1,0.456358695,0,1,0.277729014,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,0.067,1623,500,1110,1519,818,1,81,3,0.694485667,0.688758505,0.011367763,0.011119056,6.492,4.44,500,409,-0.008385138,0.368539202,0.32581176,1,80,0.700212829,0,1,0.589289611,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,0.067,1704.5,500,1,3,4,404,492,14,0.689162708,0.390061851,0.607483496,0,6.818,0.004,498,2,nan,0.338266015,0.338266015,6,92,0.684773942,78,3,0.696140557,0,77,0.618661996,152,0,0.625698327,0,152,0.663362246,108,0,0.668908509,0,108,0.638646642,42,0,0.687166043,0,42,0.678679133,16,0,0.617020124,0,16,0.514431867,2,0,0.46826151,0,2,0.367411014,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5,2,0.067,1704.5,500,0,0,0,530,370,8,0.689162708,0,0.607483496,0,6.818,0,498,0,0,0,0,6,82,0.668908509,285,5,0.696140557,0,188,0.687166043,208,0,0.684773942,0,82,0.589074819,31,0,0.62200701,0,13,0.439565924,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,0.067,1704.5,500,1088.5,1488.5,800,3,97,3,0.689162708,0.696140557,0.014557707,0.016129128,6.818,4.354,498.5,400,-0.021685385,0.410578603,0.360058195,3,94,0.684773942,0,3,0.492890769,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,0.067,1704.5,500,1125.5,1529.5,808,5,87,4,0.689162708,0.696140557,0.014557707,0.013442058,6.818,4.502,498.5,404,-0.039341646,0.454022685,0.454022685,3,82,0.668908509,2,3,0.519331365,0,2,0.474994783,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,0.067,1664.5,500,0,0,0,460,440,12,0.678257466,0,0.597442066,0,6.658,0,493,0,0,0,0,20,98,0.662759918,143,11,0.685416547,0,112,0.69081973,208,0,0.65809187,0,156,0.635922484,77,0,0.616799719,0,51,0.63863037,9,0,0.625917168,0,9,0.604156836,3,0,0.627388877,0,3,0.45919695,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,0.067,1664.5,500,0,0,0,411,489,12,0.678257466,0,0.597442066,0,6.658,0,493,0,0,0,0,20,91,0.647477744,102,15,0.69081973,7,96,0.63863037,170,5,0.665695203,0,170,0.685416547,98,0,0.662759918,0,98,0.615114656,12,0,0.500822907,0,12,0.489941277,2,0,0.469101406,0,2,0.499173379,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
