,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,init_deg_assort,fin_deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step1_far_dead_node,step2_isol,step2_unsupp,step2_far_dead_node,step3_isol,step3_unsupp,step3_far_dead_node,step4_isol,step4_unsupp,step4_far_dead_node,step5_isol,step5_unsupp,step5_far_dead_node,step6_isol,step6_unsupp,step6_far_dead_node,step7_isol,step7_unsupp,step7_far_dead_node,step8_isol,step8_unsupp,step8_far_dead_node,step9_isol,step9_unsupp,step9_far_dead_node,step10_isol,step10_unsupp,step10_far_dead_node,step11_isol,step11_unsupp,step11_far_dead_node,step12_isol,step12_unsupp,step12_far_dead_node,step13_isol,step13_unsupp,step13_far_dead_node,step14_isol,step14_unsupp,step14_far_dead_node,step15_isol,step15_unsupp,step15_far_dead_node,step16_isol,step16_unsupp,step16_far_dead_node,step17_isol,step17_unsupp,step17_far_dead_node,step18_isol,step18_unsupp,step18_far_dead_node
0,1,0.073,1970.5,500.0,1386.5,1761.5,750,10,40,3,0.676709793038144,0.6786635886519203,0.6018616572705218,0.6212522705823016,7.882,5.545999999999999,495,375,0.5856281849348034,0.5823673675123007,0.4218358016704252,0.4148393355662967,10,34,0.6747559974243678,0,6,0.6069654738820432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.073,1970.5,500.0,1,3.0,4,337,459,10,0.676709793038144,0.4961424943800047,0.6018616572705218,0.0,7.882,0.004,495,2,0.5856281849348034,nan,0.47674114469549994,0.47674114469549994,10,148,0.6786635886519203,191,6,0.6745665900177152,0,169,0.6692018744638593,114,0,0.6354539084246296,0,114,0.6654636289866842,19,0,0.6145511415495936,0,19,0.4641467251313826,3,0,0.45580051058315413,0,3,0.43614269193296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.073,1970.5,500.0,1117.5,1496.5,758,4,38,3,0.676709793038144,0.6786635886519203,0.017441960816960804,0.020112656326376627,7.882,4.470000000000001,500,379,-0.01638589288686216,-0.007330040259171786,0.5647966183127238,0.6454208640435359,4,34,0.4835875278567909,0,4,0.43571565188654204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.073,1970.5,500.0,798.5,1115.5,634,8,158,4,0.676709793038144,0.6745665900177152,0.017441960816960804,0.01654615100987341,7.882,3.194,500,317,-0.01638589288686216,0.015502690945508412,0.4582992504397222,0.45427807845973556,4,150,0.6786635886519203,4,4,0.6184902255250218,0,4,0.4574834712236291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0.073,1966.0,500.0,1206,1535.0,658,54,88,7,0.6715618599546003,0.6756319217257124,0.61164283619717,0.6242855644673704,7.864000000000001,4.824,494,329,0.5885586438229568,0.5832132419937981,0.40874011813262495,0.43245727043813803,13,35,0.667491798183488,1,12,0.6364934873750365,38,1,0.4991432122972507,0,38,0.5888740166922038,2,0,0.4013450621913123,0,2,0.39717126079607196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0.073,1966.0,500.0,0,0.0,0,405,395,10,0.6715618599546003,0,0.61164283619717,0,7.864000000000001,0.0,494,0,0.5885586438229568,0,0,0,13,158,0.667491798183488,113,6,0.6342951055996665,0,104,0.6662514928975247,226,0,0.6650507462379125,0,112,0.664065311300358,51,0,0.6756319217257124,0,13,0.46286657024403854,2,0,0.41417511627648773,0,2,0.4671981727868658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,0.073,1966.0,500.0,1149.5,1531.5,764,0,36,2,0.6715618599546003,0.6756319217257124,0.016190571193512353,0.017414450006073032,7.864000000000001,4.598,500,382,0.019531965109028483,0.03202489809852974,0.43938738748047557,0.5406766248439312,0,36,0.351677129726585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,0.073,1966.0,500.0,812,1130.0,636,1,163,4,0.6715618599546003,0.6756319217257124,0.016190571193512353,0.01398827412978356,7.864000000000001,3.248,500,318,0.019531965109028483,0.008724199231517937,0.45262851028408146,0.45262851028408146,0,162,0.667440239176807,1,0,0.29881476637406046,0,1,0.3181703054180291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,0.073,1919.0,500.0,1355.5,1740.5,770,0,30,2,0.6931376789199541,0.6951292729793265,0.6036978843052369,0.6259676680589585,7.676,5.422000000000001,500,385,0.6054810625448266,0.5949729887473828,0.39858970209329986,0.39140750936450647,0,30,0.3427652791594843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,0.073,1919.0,500.0,882,1195.0,626,7,167,6,0.6931376789199541,0.6951292729793265,0.6036978843052369,0.5917096215818263,7.676,3.528,500,313,0.6054810625448266,0.6221849144632587,0.40344304307290657,0.41665782822461295,0,160,0.6509280673425009,6,0,0.5653999803027032,0,6,0.5865674059848445,1,0,0.6303589008523206,0,1,0.514842864291986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
