,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,init_deg_assort,fin_deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step1_far_dead_node,step2_isol,step2_unsupp,step2_far_dead_node,step3_isol,step3_unsupp,step3_far_dead_node,step4_isol,step4_unsupp,step4_far_dead_node,step5_isol,step5_unsupp,step5_far_dead_node,step6_isol,step6_unsupp,step6_far_dead_node,step7_isol,step7_unsupp,step7_far_dead_node,step8_isol,step8_unsupp,step8_far_dead_node,step9_isol,step9_unsupp,step9_far_dead_node,step10_isol,step10_unsupp,step10_far_dead_node,step11_isol,step11_unsupp,step11_far_dead_node,step12_isol,step12_unsupp,step12_far_dead_node,step13_isol,step13_unsupp,step13_far_dead_node,step14_isol,step14_unsupp,step14_far_dead_node,step15_isol,step15_unsupp,step15_far_dead_node,step16_isol,step16_unsupp,step16_far_dead_node,step17_isol,step17_unsupp,step17_far_dead_node,step18_isol,step18_unsupp,step18_far_dead_node,step19_isol,step19_unsupp,step19_far_dead_node,step20_isol,step20_unsupp,step20_far_dead_node,step21_isol,step21_unsupp,step21_far_dead_node,step22_isol,step22_unsupp,step22_far_dead_node
0,1,0.067,1674.5,500,1120,1501,762,22,116,5,0.681164114,0.686970376,0.600641074,0.602343173,6.698,4.48,495.5,381,0.582967959,0.645313466,0.462470193,0.324001206,21,97,0.675357853,0,18,0.58618825,1,0,0.512469594,0,1,0.269399648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.067,1674.5,500,1076,1446,740,38,122,5,0.681164114,0.686970376,0.600641074,0.599589787,6.698,4.304,495.5,370,0.582967959,0.566884884,0.447167199,0.273648793,21,89,0.675357853,8,18,0.593490071,9,7,0.668266861,0,8,0.618053375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.067,1674.5,500,1045.5,1443.5,796,2,102,4,0.681164114,0.686970376,0.014222769,0.012733588,6.698,4.182,500,398,-0.014546149,-0.027154773,0.327649117,0.316761175,1,100,0.675357853,1,1,0.449111336,0,1,0.616276705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.067,1674.5,500,1075.5,1478.5,806,1,93,3,0.681164114,0.686970376,0.014222769,0.014975389,6.698,4.302,500,403,-0.014546149,-0.01294657,0.327649117,0.358907576,1,92,0.675357853,0,1,0.283075702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0.067,1722,500,1068,1425,714,48,138,9,0.669714893,0.676930682,0.596093479,0.594908655,6.888,4.272,494,357,0.580853778,0.476649767,0.322408548,0.333806952,13,95,0.64670679,15,9,0.647919896,1,14,0.544168947,0,1,0.367777594,1,0,0.411240579,0,1,0.461092677,18,0,0.612498341,0,18,0.649156229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0.067,1722,500,0,0,0,410,490,20,0.669714893,0,0.596093479,0,6.888,0,494,0,0.580853778,0,0,0,13,87,0.658701198,6,10,0.647919896,1,6,0.549577263,146,1,0.676930682,0,142,0.662499103,142,0,0.661788862,0,142,0.612498341,70,0,0.6036925,0,70,0.585643792,21,0,0.612452131,0,21,0.539497503,4,0,0.554413388,0,4,0.373579235,3,0,0.364755522,0,3,0.442272933,2,0,0.477904734,0,2,0.352874822,2,0,0.29795572,0,2,0.411159984,0,0,0,0,0,0,0,0,0
6,2,0.067,1722,500,1075.5,1472.5,794,4,102,4,0.669714893,0.676930682,0.013531567,0.009763264,6.888,4.302,500,397,-0.036008545,-0.035845009,0.548271539,0.35107391,2,98,0.64670679,2,2,0.488571069,0,2,0.438567809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,0.067,1722,500,1116,1518,804,3,93,4,0.669714893,0.676930682,0.013531567,0.012729752,6.888,4.464,500,402,-0.036008545,-0.040093776,0.35107391,0.35107391,2,90,0.658701198,1,2,0.488571069,0,1,0.32070674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,0.067,1675.5,500,1043.5,1403.5,720,44,136,8,0.696046625,0.69623663,0.5974494,0.58428499,6.702,4.174,497.5,360,0.569272885,0.593405775,0.335550821,0.315177453,5,93,0.677748402,29,4,0.663553554,0,29,0.672478437,4,0,0.543950143,0,4,0.455846349,6,0,0.501085139,0,6,0.641588201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,0.067,1675.5,500,1100,1480,760,25,115,4,0.696046625,0.69623663,0.5974494,0.596492747,6.702,4.4,497.5,380,0.569272885,0.565726043,0.325840798,0.351576463,5,90,0.677748402,20,5,0.603516183,0,20,0.615946016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,0.067,1675.5,500,1076,1474,796,5,99,4,0.696046625,0.69623663,0.015185619,0.014772573,6.702,4.304,499.5,398,0.000712008,0.006325224,0.435534012,0.530565335,1,94,0.677748402,4,1,0.577312579,0,4,0.530510853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,0.067,1675.5,500,1083,1483,800,5,95,6,0.696046625,0.69623663,0.015185619,0.013999902,6.702,4.332,499.5,400,0.000712008,0.008797315,0.497917965,0.420287559,1,90,0.628962931,3,1,0.683554683,0,3,0.386356145,1,0,0.46778007,0,1,0.381924663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,0.067,1669,500,0,0,0,404,496,14,0.694299996,0,0.580569924,0,6.676,0,492.5,0,0.585841072,0,0,0,15,97,0.696549303,52,12,0.621332093,0,50,0.69205069,72,0,0.602589046,0,72,0.640588048,116,0,0.695949569,0,116,0.680817015,110,0,0.663999371,0,110,0.655662904,34,0,0.652187267,0,34,0.680066834,5,0,0.52658846,0,5,0.592949372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,0.067,1669,500,1113,1502,778,19,103,4,0.694299996,0.695949569,0.580569924,0.572918413,6.676,4.452,492.5,389,0.585841072,0.570741328,0.496324971,0.390487064,15,85,0.696549303,4,14,0.680066834,0,4,0.480014819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,0.067,1669,500,1046.5,1438.5,784,8,108,4,0.694299996,0.696549303,0.011521579,0.01003938,6.676,4.186,499,392,-0.026352325,-0.044473869,0.656691391,0.455514115,3,100,0.676979025,5,3,0.623433249,0,5,0.625516465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4,0.067,1669,500,1089.5,1490.5,802,6,92,4,0.694299996,0.696549303,0.011521579,0.009658933,6.676,4.358,499,401,-0.026352325,-0.038636952,0.478906035,0.455514115,3,86,0.645682204,3,3,0.616890232,0,3,0.607195601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,0.067,1655.5,500,1084,1464,760,24,116,4,0.672621188,0.67749928,0.599516036,0.595546245,6.622,4.336,496,380,0.542554059,0.535789674,0.349277088,0.317112529,10,94,0.667743096,14,8,0.628288157,0,14,0.554345519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,0.067,1655.5,500,0,0,0,407,493,14,0.672621188,0,0.599516036,0,6.622,0,496,0,0.542554059,0,0,0,10,87,0.667749174,5,9,0.601896339,1,5,0.557396274,94,1,0.675948637,0,94,0.649516619,152,0,0.657284694,0,152,0.640604834,114,0,0.67749928,0,114,0.652357891,27,0,0.642656953,0,27,0.613010872,4,0,0.496497018,0,4,0.502266967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,5,0.067,1655.5,500,1062.5,1463.5,802,1,97,4,0.672621188,0.67749928,0.015041053,0.012376789,6.622,4.25,500,401,0.006383862,0.04387073,0.443784163,0.443784163,0,96,0.661117217,1,0,0.381964548,0,1,0.304136942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5,0.067,1655.5,500,1054,1459,810,1,89,4,0.672621188,0.67749928,0.015041053,0.013476989,6.622,4.216,500,405,0.006383862,0.001634304,0.443784163,0.318918978,0,88,0.667749174,1,0,0.437857806,0,1,0.46142919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6,0.067,1689,500,0,0,0,466,434,18,0.683297639,0,0.590372046,0,6.756,0,474,0,0.556384548,0,0,0,52,84,0.68318809,22,38,0.683407188,42,20,0.680358815,6,39,0.551387927,65,2,0.567731747,0,54,0.630335816,43,0,0.645315516,0,39,0.575027275,57,0,0.602104051,0,51,0.643840383,120,0,0.653229945,0,86,0.582488797,55,0,0.603573064,0,19,0.495815762,2,0,0.372946095,0,2,0.498612108,2,0,0.510858117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6,0.067,1689,500,1,3,4,410,486,15,0.683297639,0.353262222,0.590372046,0,6.756,0.004,474,2,0.556384548,nan,0.323268117,0.323268117,52,86,0.677877166,5,45,0.645315516,14,4,0.566197918,4,14,0.683407188,148,3,0.651726596,0,147,0.653229945,133,0,0.68318809,0,133,0.671607891,45,0,0.675646913,0,45,0.498612108,8,0,0.470348195,0,8,0.360643064,1,0,0.307839024,0,1,0.331580658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6,0.067,1689,500,1077.5,1476.5,798,3,99,3,0.683297639,0.683407188,0.01117381,0.010854608,6.756,4.31,499.5,399,-0.022037327,-0.027782048,0.42442905,0.351762048,3,96,0.68318809,0,3,0.566605125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,6,0.067,1689,500,1088,1487,798,5,97,4,0.683297639,0.683407188,0.01117381,0.010517094,6.756,4.352,499.5,399,-0.022037327,-0.029677139,0.337865599,0.307621013,3,92,0.677877166,2,3,0.593275201,0,2,0.545282304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,7,0.067,1678.5,500,2,5,6,402,492,10,0.688837045,0.563178453,0.611860158,0,6.714,0.008,495.5,3,0.53131223,-1,0.484029617,0.484029617,9,96,0.688564992,109,8,0.694468184,1,104,0.643389397,164,1,0.673014104,0,164,0.653064826,103,0,0.655240063,0,103,0.553854116,16,0,0.571223489,0,16,0.379209592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,7,0.067,1678.5,500,0,0,0,408,492,16,0.688837045,0,0.611860158,0,6.714,0,495.5,0,0.53131223,0,0,0,9,90,0.624517077,47,5,0.658525666,0,45,0.654404189,93,0,0.589858518,0,93,0.642823678,130,0,0.63276234,0,130,0.694468184,95,0,0.688564992,0,95,0.683205907,26,0,0.625812366,0,26,0.637297591,6,0,0.493899211,0,6,0.474024344,2,0,0.435443384,0,2,0.606645258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,7,0.067,1678.5,500,1086,1486,800,2,98,4,0.688837045,0.694468184,0.01612563,0.01468698,6.714,4.344,500,400,0.008266191,0.011316713,0.278050309,0.331812389,1,96,0.688564992,1,1,0.478497146,0,1,0.253718814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,7,0.067,1678.5,500,1058,1459,802,3,95,4,0.688837045,0.694468184,0.01612563,0.013815417,6.714,4.232,500,401,0.008266191,0.012860226,0.278050309,0.278050309,1,92,0.624517077,2,1,0.432410469,0,2,0.461401866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
