,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step1_far_dead_node,step2_isol,step2_unsupp,step2_far_dead_node,step3_isol,step3_unsupp,step3_far_dead_node,step4_isol,step4_unsupp,step4_far_dead_node,step5_isol,step5_unsupp,step5_far_dead_node,step6_isol,step6_unsupp,step6_far_dead_node,step7_isol,step7_unsupp,step7_far_dead_node,step8_isol,step8_unsupp,step8_far_dead_node,step9_isol,step9_unsupp,step9_far_dead_node,step10_isol,step10_unsupp,step10_far_dead_node,step11_isol,step11_unsupp,step11_far_dead_node,step12_isol,step12_unsupp,step12_far_dead_node,step13_isol,step13_unsupp,step13_far_dead_node,step14_isol,step14_unsupp,step14_far_dead_node,step15_isol,step15_unsupp,step15_far_dead_node,step16_isol,step16_unsupp,step16_far_dead_node,step17_isol,step17_unsupp,step17_far_dead_node,step18_isol,step18_unsupp,step18_far_dead_node,step19_isol,step19_unsupp,step19_far_dead_node,step20_isol,step20_unsupp,step20_far_dead_node,step21_isol,step21_unsupp,step21_far_dead_node,step22_isol,step22_unsupp,step22_far_dead_node
0,1,0.095,3246,500,19,33,28,193,379,8,0.680681597,0.664396324,0.621156966,0.371428571,12.984,0.076,500,14,0.148233696,0.452057804,0.460690355,0,278,0.681960742,151,0,0.684251629,0,59,0.618859449,30,0,0.596814485,0,30,0.611214741,12,0,0.575314826,0,12,0.662082756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.095,3246,500,606.5,789.5,366,1,233,4,0.680681597,0.684251629,0.621156966,0.625765385,12.984,2.426,500,183,0.486696785,0.458835993,0.382747585,0,232,0.680664412,1,0,0.538799114,0,1,0.394509597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.095,3246,500,314,466,304,9,287,4,0.680681597,0.684251629,0.026414539,0.026371417,12.984,1.256,500,152,0.000414547,0.415579829,0.415579829,0,278,0.681960742,9,0,0.585557041,0,9,0.54582835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.095,3246,500,438.5,619.5,362,4,234,4,0.680681597,0.684251629,0.026414539,0.021168748,12.984,1.754,500,181,-0.01975667,0.490167749,0.476130596,0,232,0.680664412,4,0,0.662082756,0,2,0.549554185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0.095,3306,500,2.5,5.5,6,171,423,8,0.684435875,0.621885111,0.617788033,0.5,13.224,0.01,500,3,nan,0.546140956,0.546140956,0,304,0.684499138,110,0,0.684372612,0,96,0.672689143,53,0,0.634071818,0,17,0.621033506,8,0,0.536950494,0,6,0.623160445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0.095,3306,500,1,3,4,187,409,14,0.684435875,0.581124691,0.617788033,0,13.224,0.004,500,2,nan,0.470035234,0.470035234,0,238,0.684499138,94,0,0.684372612,0,80,0.683295022,19,0,0.585237007,0,17,0.611030641,42,0,0.657911675,0,42,0.645779213,25,0,0.651060564,0,25,0.62122718,6,0,0.65613129,0,6,0.53309382,1,0,0.555912625,0,1,0.576195181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,0.095,3306,500,291.5,438.5,294,2,304,4,0.684435875,0.684372612,0.026110522,0.026087895,13.224,1.166,500,147,0.007467762,0.442750178,0.442750178,1,303,0.684499138,1,0,0.481513075,0,1,0.494087712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,0.095,3306,500,435,613,356,3,241,4,0.684435875,0.684372612,0.026110522,0.025455023,13.224,1.74,500,178,0.066256151,0.500131902,0.500131902,1,238,0.684499138,2,1,0.634071818,0,2,0.531674589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,0.095,3213.5,500,0,0,0,276,324,11,0.691056746,0,0.621972823,0,12.854,0,500,0,0,0,0,150,203,0.694187016,70,49,0.66511751,13,33,0.653358553,13,12,0.687926475,17,9,0.545623045,7,12,0.504670469,3,3,0.500329997,1,2,0.498275461,1,1,0.449770897,1,0,0.439783731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,0.095,3213.5,500,3.5,7.5,8,298,294,10,0.691056746,0.487782589,0.621972823,0.291666667,12.854,0.014,500,4,-0.607142857,0.441266244,0.441266244,150,170,0.690537808,85,51,0.687926475,28,48,0.694187016,26,10,0.683467988,3,8,0.613732343,5,2,0.551727677,0,4,0.449244608,1,0,0.358592049,0,1,0.543162383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,0.095,3213.5,500,346.5,509.5,326,3,271,4,0.691056746,0.687926475,0.025076637,0.027595853,12.854,1.386,500,163,-0.03686605,0.382370596,0.388788142,0,268,0.694187016,3,0,0.498087865,0,3,0.478194262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,0.095,3213.5,500,452,634,364,2,234,4,0.691056746,0.694187016,0.025076637,0.027825761,12.854,1.808,500,182,0.000275497,0.444462032,0.446165452,0,232,0.687470525,2,0,0.522427721,0,2,0.515642569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,0.095,3155.5,500,4.5,8.5,8,204,388,18,0.68402929,0.508341476,0.627632174,0.5,12.622,0.018,500,4,nan,0.479752399,0.479752399,0,270,0.69426523,130,0,0.687070806,0,44,0.646629467,20,0,0.524734588,0,20,0.576932277,32,0,0.522271269,0,32,0.660605798,7,0,0.640095892,0,7,0.580575634,1,0,0.438852427,0,1,0.43565464,7,0,0.54241602,0,7,0.557230882,5,0,0.596867903,0,5,0.474078372,2,0,0.465727121,0,2,0.421255884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,0.095,3155.5,500,598,775,354,1,245,4,0.68402929,0.69426523,0.627632174,0.649347145,12.622,2.392,500,177,0.557998788,0.444267415,0.482085694,0,244,0.685346182,1,0,0.527924119,0,1,0.490489184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,0.095,3155.5,500,318.5,476.5,316,7,277,4,0.68402929,0.687070806,0.023366351,0.016598855,12.622,1.274,500,158,0.119694442,0.466525463,0.478739364,1,270,0.69426523,6,1,0.675077237,0,6,0.498830932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4,0.095,3155.5,500,395.5,572.5,354,2,244,4,0.68402929,0.69426523,0.023366351,0.021430406,12.622,1.582,500,177,0.019932222,0.533910237,0.533910237,1,243,0.685346182,1,0,0.489604238,0,1,0.489006097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,0.095,3215.5,500,15,27,24,205,371,8,0.690638128,0.653827029,0.618129075,0.340277778,12.862,0.06,500,12,0.376034687,0.536648905,0.536663948,0,284,0.694802433,111,0,0.685831546,0,37,0.627899311,77,0,0.680692209,0,35,0.659380534,17,0,0.461744219,0,15,0.631824873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,0.095,3215.5,500,3,7,8,181,411,10,0.690638128,0.52114879,0.618129075,0,12.862,0.012,500,4,-0.5,0.43533177,0.43533177,0,230,0.694802433,121,0,0.666859933,0,121,0.680692209,50,0,0.673958761,0,50,0.686473823,7,0,0.591763841,0,7,0.484445558,3,0,0.53997741,0,3,0.525592374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,5,0.095,3215.5,500,318.5,473.5,310,3,287,4,0.690638128,0.685831546,0.024858503,0.020230415,12.862,1.274,500,155,0.0270476,0.544025042,0.544025042,0,284,0.694802433,3,0,0.584483016,0,3,0.503862184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5,0.095,3215.5,500,411.5,593.5,364,3,233,4,0.690638128,0.686473823,0.024858503,0.030858427,12.862,1.646,500,182,-0.040424274,0.444175466,0.461154002,0,230,0.694802433,3,0,0.557465265,0,3,0.470063427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6,0.095,3322,500,527,687,320,8,272,6,0.680367519,0.679896385,0.62249531,0.645704903,13.288,2.108,500,160,0.564530882,0.48880929,0.408692351,0,264,0.680838653,7,0,0.676937131,0,7,0.532417923,1,0,0.569945477,0,1,0.508567603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6,0.095,3322,500,0,0,0,183,417,12,0.680367519,0,0.62249531,0,13.288,0,500,0,0,0,0,0,234,0.680838653,89,0,0.623806394,0,89,0.66922562,68,0,0.670461962,0,68,0.679896385,22,0,0.658903601,0,22,0.567348202,2,0,0.553598452,0,2,0.545894991,2,0,0.538335292,0,2,0.56606177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6,0.095,3322,500,366,531,330,3,267,4,0.680367519,0.679896385,0.026844442,0.02489899,13.288,1.464,500,165,0.022349867,0.430754475,0.472728493,0,264,0.680838653,3,0,0.500450099,0,3,0.534288265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,6,0.095,3322,500,431,612,362,2,236,4,0.680367519,0.679896385,0.026844442,0.022299953,13.288,1.724,500,181,0.031830179,0.398274909,0.42991442,0,234,0.680838653,2,0,0.502083985,0,2,0.619597704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,7,0.095,3261.5,500,2.5,5.5,6,188,406,12,0.673909388,0.494931011,0.616114371,0.5,13.046,0.01,500,3,nan,0.423709763,0.423709763,0,264,0.662402933,119,0,0.677916899,0,93,0.674319187,57,0,0.655690242,0,37,0.673784329,6,0,0.64528505,0,6,0.565103155,2,0,0.502306978,0,2,0.439903183,4,0,0.518745869,0,4,0.486800222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
