,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step2_isol,step2_unsupp,step3_isol,step3_unsupp,step4_isol,step4_unsupp,step5_isol,step5_unsupp,step6_isol,step6_unsupp,step7_isol,step7_unsupp,step8_isol,step8_unsupp,step9_isol,step9_unsupp,step10_isol,step10_unsupp,step11_isol,step11_unsupp,step12_isol,step12_unsupp,step13_isol,step13_unsupp,step14_isol,step14_unsupp,step15_isol,step15_unsupp,step16_isol,step16_unsupp,step17_isol,step17_unsupp,step18_isol,step18_unsupp,step19_isol,step19_unsupp,step20_isol,step20_unsupp,step21_isol,step21_unsupp,step22_isol,step22_unsupp,step23_isol,step23_unsupp,step24_isol,step24_unsupp,step25_isol,step25_unsupp,step26_isol,step26_unsupp
0,1,0.04,221.5,300.0,0,0.0,0,518,22,4,0.6825776973741975,0,0.3161146723646724,0,1.4766666666666666,0.0,13.5,0,0,0,0,513,4,3,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.04,221.5,300.0,0,0.0,0,515,25,4,0.6825776973741975,0,0.3161146723646724,0,1.4766666666666666,0.0,13.5,0,0,0,0,513,2,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.04,221.5,300.0,0,0.0,0,463,77,5,0.6825776973741975,0,0.0,0,1.4766666666666666,0.0,151,0,0,0,0,362,17,84,54,16,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.04,221.5,300.0,0,0.0,0,458,82,5,0.6825776973741975,0,0.0,0,1.4766666666666666,0.0,151,0,0,0,0,362,19,64,58,30,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0.04,211.0,300.0,0,0.0,0,521,19,3,0.6939752749005389,0,0.3303241436925648,0,1.4066666666666667,0.0,9.5,0,0,0,0,521,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0.04,211.0,300.0,0,0.0,0,524,16,3,0.6939752749005389,0,0.3303241436925648,0,1.4066666666666667,0.0,9.5,0,0,0,0,521,2,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,0.04,211.0,300.0,0,0.0,0,421,119,5,0.6939752749005389,0,0.0022624434389140274,0,1.4066666666666667,0.0,144,0,0,0,0,333,21,49,92,37,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,0.04,211.0,300.0,0,0.0,0,427,113,6,0.6939752749005389,0,0.0022624434389140274,0,1.4066666666666667,0.0,144,0,0,0,0,333,24,52,78,40,3,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,0.04,229.5,300.0,0,0.0,0,515,25,4,0.6694633245680537,0,0.34860001022662546,0,1.5299999999999998,0.0,16.5,0,0,0,0,507,4,6,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,0.04,229.5,300.0,0,0.0,0,507,33,3,0.6694633245680537,0,0.34860001022662546,0,1.5299999999999998,0.0,16.5,0,0,0,0,507,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,0.04,229.5,300.0,0,0.0,0,422,118,5,0.6694633245680537,0,0.0,0,1.5299999999999998,0.0,183.5,0,0,0,0,313,19,43,84,65,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,0.04,229.5,300.0,0,0.0,0,436,104,6,0.6694633245680537,0,0.0,0,1.5299999999999998,0.0,183.5,0,0,0,0,313,21,82,76,37,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,0.04,215.0,300.0,0,0.0,0,522,18,3,0.6845407977343764,0,0.347193273119199,0,1.4333333333333333,0.0,9.5,0,0,0,0,521,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,0.04,215.0,300.0,0,0.0,0,521,19,3,0.6845407977343764,0,0.347193273119199,0,1.4333333333333333,0.0,9.5,0,0,0,0,521,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,0.04,215.0,300.0,0,0.0,0,447,93,5,0.6845407977343764,0,0.0018768768768768766,0,1.4333333333333333,0.0,169.5,0,0,0,0,321,24,77,63,47,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4,0.04,215.0,300.0,0,0.0,0,447,93,6,0.6845407977343764,0,0.0018768768768768766,0,1.4333333333333333,0.0,169.5,0,0,0,0,321,19,83,66,41,3,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,0.04,231.5,300.0,1,3.0,4,521,15,3,0.6743757577281715,0.5146004462096794,0.3596051419895966,0.0,1.5433333333333334,0.006666666666666667,13,2,nan,0.36547406094156765,0.36547406094156765,518,2,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,0.04,231.5,300.0,0,0.0,0,520,20,4,0.6743757577281715,0,0.3596051419895966,0,1.5433333333333334,0.0,13,0,0,0,0,518,3,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,5,0.04,231.5,300.0,0,0.0,0,412,128,6,0.6743757577281715,0,0.0,0,1.5433333333333334,0.0,170,0,0,0,0,299,28,75,92,34,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5,0.04,231.5,300.0,0,0.0,0,424,116,6,0.6743757577281715,0,0.0,0,1.5433333333333334,0.0,170,0,0,0,0,299,26,60,79,59,3,4,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
