,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step2_isol,step2_unsupp,step3_isol,step3_unsupp,step4_isol,step4_unsupp,step5_isol,step5_unsupp,step6_isol,step6_unsupp,step7_isol,step7_unsupp,step8_isol,step8_unsupp,step9_isol,step9_unsupp,step10_isol,step10_unsupp,step11_isol,step11_unsupp,step12_isol,step12_unsupp,step13_isol,step13_unsupp,step14_isol,step14_unsupp,step15_isol,step15_unsupp,step16_isol,step16_unsupp,step17_isol,step17_unsupp,step18_isol,step18_unsupp,step19_isol,step19_unsupp,step20_isol,step20_unsupp,step21_isol,step21_unsupp,step22_isol,step22_unsupp,step23_isol,step23_unsupp,step24_isol,step24_unsupp,step25_isol,step25_unsupp,step26_isol,step26_unsupp,step27_isol,step27_unsupp,step28_isol,step28_unsupp,step29_isol,step29_unsupp,step30_isol,step30_unsupp,step31_isol,step31_unsupp,step32_isol,step32_unsupp,step33_isol,step33_unsupp,step34_isol,step34_unsupp,step35_isol,step35_unsupp,step36_isol,step36_unsupp
1,1,0.04,612.0,500.0,0,0.0,0,846,54,3,0.7006961939174826,0,0.4135023754373651,0,2.4480000000000004,0.0,37,0,0,0,0,845,4,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.04,612.0,500.0,0,0.0,0,854,46,5,0.7006961939174826,0,0.4135023754373651,0,2.4480000000000004,0.0,37,0,0,0,0,845,7,7,37,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.04,612.0,500.0,0,0.0,0,480,420,12,0.7006961939174826,0,0.0025907571960203536,0,2.4480000000000004,0.0,449,0,0,0,0,121,90,52,99,61,33,31,47,88,20,37,66,56,16,17,45,15,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0.04,612.0,500.0,0,0.0,0,520,380,11,0.7006961939174826,0,0.0025907571960203536,0,2.4480000000000004,0.0,449,0,0,0,0,121,74,42,92,73,26,23,65,79,20,29,55,89,11,50,29,14,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0.04,624.0,500.0,1,3.0,4,855,41,4,0.6930940379458815,0.5266704764440326,0.4858433720023833,0.0,2.496,0.004,29,2,nan,0.4274122279907621,0.4274122279907621,843,10,11,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,0.04,624.0,500.0,0,0.0,0,843,57,3,0.6930940379458815,0,0.4858433720023833,0,2.496,0.0,29,0,0,0,0,843,1,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,0.04,624.0,500.0,0,0.0,0,515,385,10,0.6930940379458815,0,0.003068373367045933,0,2.496,0.0,448,0,0,0,0,130,77,35,98,92,24,15,72,185,6,4,96,52,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0.04,624.0,500.0,0,0.0,0,561,339,10,0.6930940379458815,0,0.003068373367045933,0,2.496,0.0,448,0,0,0,0,130,82,54,98,90,35,47,58,126,25,87,24,21,11,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,0.04,594.5,500.0,0,0.0,0,858,42,4,0.6805147988277445,0,0.41250582765401966,0,2.378,0.0,33,0,0,0,0,842,5,15,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,0.04,594.5,500.0,0,0.0,0,861,39,5,0.6805147988277445,0,0.41250582765401966,0,2.378,0.0,33,0,0,0,0,842,7,16,31,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,0.04,594.5,500.0,0,0.0,0,531,369,11,0.6805147988277445,0,0.0009038322487346349,0,2.378,0.0,450.5,0,0,0,0,145,69,38,108,64,28,40,52,72,28,49,50,80,13,38,17,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
